t	C_D
1.9303766255868916E-002	7.2417420000000003E+000
3.8278746200072718E-002	1.6944606000000000E+001
5.7268195395293396E-002	1.5996212000000000E+001
7.6301232307893985E-002	1.4710094000000000E+001
9.5376308749925795E-002	1.3560294000000001E+001
1.1449443484245055E-001	1.2410679999999999E+001
1.3365071153283853E-001	1.1363072000000001E+001
1.5284146159197476E-001	1.0359380000000000E+001
1.7206128392807254E-001	9.4224680000000003E+000
1.9130762968755835E-001	8.5588540000000002E+000
2.1057709587917631E-001	7.7629619999999999E+000
2.2986864367556636E-001	7.0376719999999997E+000
2.4917929095060945E-001	6.3768680000000000E+000
2.6850801093091131E-001	5.7797859999999996E+000
2.8785295155924584E-001	5.2410959999999998E+000
3.0721316433342316E-001	4.7575159999999999E+000
3.2658762451876377E-001	4.3254400000000004E+000
3.4597485228653890E-001	3.9405100000000002E+000
3.6537458519575017E-001	3.5999020000000002E+000
3.8478609297260591E-001	3.2994800000000000E+000
4.0420909414962364E-001	3.0365579999999999E+000
4.2364373213884404E-001	2.8077000000000001E+000
4.4309269248489203E-001	2.6101120000000000E+000
4.6254510252263609E-001	2.4410159999999999E+000
4.8200340834227784E-001	2.2977500000000002E+000
5.0147400952933130E-001	2.1779380000000002E+000
5.2095600375156192E-001	2.0790120000000001E+000
5.4044066701207283E-001	1.9988682000000000E+000
5.5992372399308754E-001	1.9353233999999999E+000
5.7940521427471692E-001	1.8864310000000000E+000
5.9890223818500243E-001	1.8502647999999999E+000
6.1841282594071689E-001	1.8250792000000000E+000
6.3793015299584310E-001	1.8092703999999999E+000
6.5745433857827362E-001	1.8009915999999999E+000
6.7697799085164090E-001	1.7992281999999999E+000
6.9648227656386885E-001	1.8033218000000000E+000
7.1599549013206487E-001	1.8113474000000001E+000
7.3552188171055499E-001	1.8212839999999999E+000
7.5506005805371557E-001	1.8335340000000000E+000
7.7460850577537887E-001	1.8479620000000001E+000
7.9416530917359740E-001	1.8642728000000000E+000
8.1372861219520998E-001	1.8822296000000001E+000
