t	C_D
3.8629005314981084E-002	8.8917560000000009E+000
7.3653689469942399E-002	1.6374064000000001E+001
1.0890533803905598E-001	1.4598794000000000E+001
1.4482182108803790E-001	1.2847332000000000E+001
1.8158016125132193E-001	1.1171028000000000E+001
2.1918619607545484E-001	9.6338740000000005E+000
2.5753786948749774E-001	8.2706359999999997E+000
2.9648665997728801E-001	7.0910640000000003E+000
3.3588060575384887E-001	6.0916980000000001E+000
3.7550056838470608E-001	5.2614419999999997E+000
4.1452718169726671E-001	4.5810079999999997E+000
4.5352308972620681E-001	4.1476280000000001E+000
4.9251102670585206E-001	3.7282899999999999E+000
5.3152227809211894E-001	3.4110200000000002E+000
5.7057238760702111E-001	3.1751440000000000E+000
6.0966591071464793E-001	3.0046520000000001E+000
6.4880266932483177E-001	2.8854980000000001E+000
6.8798089479792923E-001	2.8053480000000000E+000
7.2719821132237827E-001	2.7550699999999999E+000
7.6645173390459431E-001	2.7262200000000001E+000
8.0573906273327345E-001	2.7085439999999998E+000
8.4505773860480948E-001	2.7067000000000001E+000
8.8440496978508765E-001	2.7112120000000002E+000
9.2377883746865341E-001	2.7063739999999998E+000
9.6317696211042125E-001	2.7043400000000002E+000
1.0025974496091752E+000	2.7180740000000001E+000
1.0420405280433624E+000	2.7322500000000001E+000
1.0815051608641881E+000	2.7279239999999998E+000
1.1209867768120032E+000	2.7102040000000001E+000
1.1604815881288277E+000	2.6983920000000001E+000
1.1999907388631215E+000	2.7038880000000001E+000
1.2395181869411456E+000	2.7192919999999998E+000
1.2790652046822544E+000	2.7262599999999999E+000
1.3186275343028930E+000	2.7145199999999998E+000
1.3581983249174754E+000	2.6894420000000001E+000
1.3977737554996770E+000	2.6634280000000001E+000
1.4373554441089951E+000	2.6467700000000001E+000
1.4769482736704809E+000	2.6446559999999999E+000
1.5165567447659061E+000	2.6551439999999999E+000
1.5561823794066829E+000	2.6685520000000000E+000
1.5958228112091228E+000	2.6730719999999999E+000
1.6354727254164654E+000	2.6631140000000002E+000
1.6751264793495821E+000	2.6418360000000001E+000
1.7147809879005582E+000	2.6166299999999998E+000
1.7544370501169697E+000	2.5937899999999998E+000
1.7940982520832576E+000	2.5768260000000001E+000
1.8337685896845044E+000	2.5674500000000000E+000
1.8734506591757987E+000	2.5663760000000000E+000
