t	C_D
2.4838613249127870E-002	1.0814686000000000E+001
4.7825409498630386E-002	1.6167956000000000E+001
7.0259143646636574E-002	1.4618608000000000E+001
9.2477027906201492E-002	1.3650031999999999E+001
1.1451860179027372E-001	1.2813599999999999E+001
1.3629156865667089E-001	1.2274374000000000E+001
1.5812682794788011E-001	1.1313350000000000E+001
1.8017433151571075E-001	1.0493380000000000E+001
2.0245157673949457E-001	9.6317240000000002E+000
2.2494058109935192E-001	8.7942999999999998E+000
2.4761756891691969E-001	8.0133159999999997E+000
2.7045531565661801E-001	7.2972460000000003E+000
2.9342477476278939E-001	6.6460739999999996E+000
3.1649765410080666E-001	6.0576999999999996E+000
3.3964836394101222E-001	5.5288959999999996E+000
3.6285451147370379E-001	5.0561720000000001E+000
3.8609621487545198E-001	4.6361480000000004E+000
4.0935937634525238E-001	4.2671400000000004E+000
4.3263900110477987E-001	3.9482420000000000E+000
4.5594506662721640E-001	3.6801400000000002E+000
4.7926888292109077E-001	3.4416400000000000E+000
5.0260161610080856E-001	3.2362600000000001E+000
5.2594376891382311E-001	3.0656059999999998E+000
5.4929360441981057E-001	2.9194380000000000E+000
5.7263869898385600E-001	2.7947060000000001E+000
5.9597114185216948E-001	2.6995459999999998E+000
6.1928820022643372E-001	2.6301420000000002E+000
6.4259807689989146E-001	2.5827019999999998E+000
6.6590317420171519E-001	2.5455199999999998E+000
6.8919756760665252E-001	2.5182419999999999E+000
7.1247940660557019E-001	2.5018699999999998E+000
7.3575513329603381E-001	2.4976780000000001E+000
7.5903281828370972E-001	2.4997280000000002E+000
7.8231100352286886E-001	2.5025879999999998E+000
8.0558611933716806E-001	2.5078440000000000E+000
8.2885496861468411E-001	2.5158559999999999E+000
8.5211541638775767E-001	2.5265800000000000E+000
8.7536623924094814E-001	2.5380840000000000E+000
8.9860681975661516E-001	2.5482600000000000E+000
9.2183861163808911E-001	2.5573939999999999E+000
9.4506325141364222E-001	2.5665420000000001E+000
9.6828110687319235E-001	2.5766380000000000E+000
9.9149468020400477E-001	2.5867480000000000E+000
1.0147047186815819E+000	2.5928599999999999E+000
1.0379124152536618E+000	2.5947760000000000E+000
1.0611183062325327E+000	2.5943920000000000E+000
1.0843222026718087E+000	2.5952940000000000E+000
1.1075239634967740E+000	2.5992739999999999E+000
1.1307234791960483E+000	2.6050339999999998E+000
1.1539217904165149E+000	2.6094580000000001E+000
1.1771194495674202E+000	2.6093440000000001E+000
1.2003162871734667E+000	2.6043419999999999E+000
1.2235120407310602E+000	2.5963620000000001E+000
1.2467064963042773E+000	2.5884740000000002E+000
1.2698994262314107E+000	2.5834779999999999E+000
1.2930905635627337E+000	2.5826600000000002E+000
1.3162796490576083E+000	2.5852279999999999E+000
1.3394664088487405E+000	2.5888040000000001E+000
1.3626506008792127E+000	2.5905480000000001E+000
1.3858321064082166E+000	2.5883419999999999E+000
1.4090108817889992E+000	2.5815540000000001E+000
1.4321868886901166E+000	2.5711919999999999E+000
1.4553600154504474E+000	2.5593900000000001E+000
1.4785299117716550E+000	2.5486599999999999E+000
1.5016983874186014E+000	2.5411800000000002E+000
1.5248684942005251E+000	2.5376240000000001E+000
1.5480407607810098E+000	2.5374520000000000E+000
