t	C_D
7.1903854790131824E-002	4.9626380000000001E+000
1.4172545135955336E-001	1.3830696000000000E+001
2.0976034610700442E-001	9.9806299999999997E+000
2.7713786734273643E-001	7.0835239999999997E+000
3.4423025983382222E-001	5.0356680000000003E+000
4.1135124785947219E-001	3.6341220000000001E+000
4.7859326332887292E-001	2.7259159999999998E+000
5.4607433009936113E-001	2.1824740000000000E+000
6.1385269808764864E-001	1.9006840000000000E+000
6.8193412040174706E-001	1.7918346000000001E+000
7.5030219690424194E-001	1.7821678000000001E+000
8.1889336916562916E-001	1.8284997999999999E+000
8.8766799555544773E-001	1.8935210000000000E+000
9.5659582808349120E-001	1.9315735999999999E+000
1.0256620254802822E+000	1.9699762000000001E+000
1.0948201130941322E+000	2.0269499999999998E+000
1.1640561534520608E+000	1.9977849999999999E+000
1.2333924094596425E+000	2.0098140000000000E+000
1.3028025807395387E+000	2.0629480000000000E+000
1.3722603890906315E+000	2.0324740000000001E+000
1.4417990359109805E+000	1.9946100000000000E+000
1.5114298381287088E+000	1.9864828000000001E+000
1.5811252278191823E+000	2.0250640000000000E+000
1.6508499786067432E+000	2.0380259999999999E+000
1.7206176130765514E+000	1.9978912000000000E+000
1.7904471183541160E+000	1.9649786000000000E+000
1.8603415143884503E+000	1.9446642000000001E+000
1.9302898828776076E+000	1.9454760000000000E+000
2.0002721988496943E+000	1.9751360000000000E+000
2.0702761564954191E+000	1.9953354000000001E+000
2.1403086664952831E+000	1.9776906000000001E+000
2.2103872258379758E+000	1.9405798000000001E+000
2.2805208076737031E+000	1.9093621999999999E+000
2.3507043162378909E+000	1.8910650000000000E+000
2.4209256839999500E+000	1.8879543999999999E+000
2.4911780461617239E+000	1.9008940000000001E+000
2.5614551621303288E+000	1.9222100000000000E+000
2.6317487835439621E+000	1.9360210000000000E+000
2.7020578599568799E+000	1.9307190000000001E+000
2.7723920837268143E+000	1.9072283999999999E+000
2.8427634511595787E+000	1.8753002000000001E+000
2.9131763955106509E+000	1.8474048000000001E+000
2.9836269416379042E+000	1.8318144000000001E+000
3.0541085650610973E+000	1.8300386000000000E+000
3.1246167205447417E+000	1.8390812000000001E+000
3.1951483535079470E+000	1.8528472000000000E+000
3.2656995135759108E+000	1.8645582000000001E+000
3.3362657462160175E+000	1.8695706000000001E+000
3.4068436049130013E+000	1.8661562000000000E+000
3.4774345693407969E+000	1.8550025999999999E+000
3.5480441327209102E+000	1.8383130000000001E+000
3.6186784167689092E+000	1.8189907999999999E+000
3.6893412211437391E+000	1.8002252000000001E+000
3.7600325617115331E+000	1.7853444000000001E+000
3.8307495072161264E+000	1.7774456000000001E+000
3.9014882267727060E+000	1.7781096000000001E+000
3.9722453168399494E+000	1.7858996000000000E+000
4.0430179980365200E+000	1.7966394000000001E+000
4.1138040535173941E+000	1.8055200000000000E+000
4.1846019009653750E+000	1.8091725999999999E+000
4.2554106691694500E+000	1.8066024000000001E+000
4.3262303168117890E+000	1.7990252000000000E+000
4.3970617921261059E+000	1.7888828000000001E+000
4.4679069687131552E+000	1.7784556000000000E+000
4.5387681987117094E+000	1.7688576000000000E+000
4.6096476640133037E+000	1.7600464000000000E+000
4.6805468124965923E+000	1.7516533999999999E+000
