t	C_D
4.3584935101788222E-002	4.7103320000000002E+000
8.6344360360812042E-002	1.5355627999999999E+001
1.2820605937465326E-001	1.2953569999999999E+001
1.6936803805363784E-001	1.0661490000000001E+001
2.1010633664232040E-001	8.7002659999999992E+000
2.5061502864299029E-001	7.0764579999999997E+000
2.9095310825191234E-001	5.7571940000000001E+000
3.3121586187146917E-001	4.7027440000000000E+000
3.7145322713906237E-001	3.8720219999999999E+000
4.1171121042351660E-001	3.2289759999999998E+000
4.5202944056517097E-001	2.7421959999999999E+000
4.9244600095894697E-001	2.3846980000000002E+000
5.3298251312523315E-001	2.1330160000000000E+000
5.7364184228564274E-001	1.9665740000000000E+000
6.1440451229705761E-001	1.8669628000000000E+000
6.5526851288503452E-001	1.8179000000000001E+000
6.9623112388479169E-001	1.8043456000000000E+000
7.3727420404157706E-001	1.8158278000000001E+000
7.7838897798571138E-001	1.8405031999999999E+000
8.1957288545911189E-001	1.8724978000000001E+000
8.6082089717124444E-001	1.9022078000000000E+000
9.0213024297577138E-001	1.9438198000000000E+000
9.4348910752430859E-001	1.9566918000000000E+000
9.8489816134038510E-001	1.9850346000000001E+000
1.0263510433861172E+000	2.0192079999999999E+000
1.0678412831681958E+000	2.0165839999999999E+000
1.1093718648683781E+000	2.0146600000000001E+000
1.1509374029607060E+000	2.0427400000000002E+000
1.1925303000974536E+000	2.0618840000000001E+000
1.2341477367456475E+000	2.0461839999999998E+000
1.2757934116331771E+000	2.0249440000000001E+000
1.3174689991219084E+000	2.0290699999999999E+000
1.3591716669717775E+000	2.0537440000000000E+000
1.4008960900399996E+000	2.0648840000000002E+000
1.4426397637927961E+000	2.0470100000000002E+000
1.4844046065626344E+000	2.0184180000000000E+000
1.5261925328374968E+000	2.0024679999999999E+000
1.5680064629703683E+000	2.0087780000000000E+000
1.6098438289519328E+000	2.0290680000000001E+000
1.6516969994775499E+000	2.0422120000000001E+000
1.6935601344559861E+000	2.0345499999999999E+000
1.7354345996327565E+000	2.0115980000000002E+000
1.7773267702408144E+000	1.9871770000000000E+000
1.8192425386543616E+000	1.9715499999999999E+000
1.8611837291993929E+000	1.9697089999999999E+000
1.9031470061275639E+000	1.9809988000000001E+000
1.9451254203308188E+000	1.9974286000000001E+000
1.9871125748514764E+000	2.0072920000000001E+000
2.0291065206989565E+000	2.0033560000000001E+000
2.0711103803771986E+000	1.9869558000000000E+000
2.1131298029764527E+000	1.9649468000000001E+000
2.1551696974985188E+000	1.9446162000000000E+000
2.1972321741382301E+000	1.9312195999999999E+000
2.2393160516453725E+000	1.9276367999999999E+000
2.2814175810088519E+000	1.9338732000000001E+000
2.3235318858316818E+000	1.9464627999999999E+000
2.3656536584710706E+000	1.9593621999999999E+000
2.4077801324070247E+000	1.9664708000000000E+000
2.4499118261547999E+000	1.9641548000000000E+000
2.4920516595597975E+000	1.9523900000000001E+000
2.5342036520365370E+000	1.9342834000000000E+000
2.5763713180050622E+000	1.9144938000000000E+000
2.6185565121373799E+000	1.8974902000000000E+000
2.6607591033011433E+000	1.8863878000000001E+000
2.7029773599849403E+000	1.8825398000000000E+000
2.7452086610308153E+000	1.8856412000000000E+000
2.7874501753068386E+000	1.8939990000000000E+000
2.8296993723872461E+000	1.9048636000000001E+000
2.8719544102492645E+000	1.9149212000000000E+000
2.9142143653073531E+000	1.9209778000000000E+000
2.9564789639223146E+000	1.9207453999999999E+000
2.9987496544876540E+000	1.9135177999999999E+000
3.0410287612681439E+000	1.9003858000000000E+000
3.0833186544295215E+000	1.8838143999999999E+000
3.1256210607002588E+000	1.8668296000000000E+000
3.1679366738474704E+000	1.8522326000000000E+000
3.2102651741996739E+000	1.8420567999999999E+000
3.2526055294807614E+000	1.8373012000000000E+000
3.2949563449745352E+000	1.8379200000000000E+000
3.3373161025265361E+000	1.8429991999999999E+000
3.3796832782079158E+000	1.8510080000000000E+000
3.4220564320653963E+000	1.8600494000000001E+000
3.4644343602153373E+000	1.8681319999999999E+000
3.5068163135523660E+000	1.8734788000000000E+000
3.5492021931537447E+000	1.8748282000000001E+000
3.5915925960351887E+000	1.8716280000000001E+000
3.6339883551296408E+000	1.8640722000000001E+000
3.6763906910958699E+000	1.8530050000000000E+000
3.7188009801641804E+000	1.8397580000000000E+000
3.7612203742595272E+000	1.8259592000000000E+000
3.8036496405626647E+000	1.8133075999999999E+000
3.8460890875605256E+000	1.8033094000000001E+000
3.8885385644985213E+000	1.7970192000000000E+000
3.9309975144546421E+000	1.7948586000000000E+000
3.9734650140173811E+000	1.7965734000000000E+000
4.0159396547232813E+000	1.8013344000000000E+000
4.0584202420354254E+000	1.8079423999999999E+000
4.1009056839315905E+000	1.8150678000000000E+000
4.1433950329215286E+000	1.8214682000000000E+000
4.1858875856567410E+000	1.8261423999999999E+000
4.2283829614408353E+000	1.8284140000000000E+000
4.2708811443363262E+000	1.8279498000000001E+000
4.3133824766841187E+000	1.8247321999999999E+000
4.3558876015467680E+000	1.8190036000000001E+000
4.3983973635876747E+000	1.8112096000000000E+000
4.4409126867303597E+000	1.8019536000000000E+000
4.4834344494323135E+000	1.7919650000000000E+000
4.5259633753493107E+000	1.7820634000000000E+000
4.5684999515640206E+000	1.7730992000000001E+000
4.6110443811759083E+000	1.7658602000000001E+000
4.6535965726957036E+000	1.7609585999999999E+000
4.6961561645088619E+000	1.7587240000000000E+000
