shift	error1	error2	error3
-0.075	0.021267551	0.001484459	0.000396505
-0.06	0.021827629	0.001497646	0.000188994
-0.045	0.027541542	0.002078027	0.000273964
-0.03	0.030324763	0.002597983	0.007646486
-0.015	0.030577587	0.002547788	0.000310419
0		0.030709242	0.002496352	0.000308053
0.015	0.030762067	0.002445014	0.00030458
0.03	0.030721389	0.00239473	0.001657932
0.045	0.028877292	0.002159846	0.000324877
0.06	0.024348881	0.001700534	0.000207092
0.075	0.023771216	0.001623895	0.000624163
