t	C_D
4.2698478145220431E-001	3.9752559999999999E+000
8.4985108504957640E-001	2.4942700000000002E+000
1.2796012883844046E+000	1.5696520000000000E+000
1.7123515240876728E+000	1.7589714000000001E+000
2.1465314719805724E+000	1.7521595999999999E+000
2.5821097875839492E+000	1.6291979999999999E+000
3.0187926628221042E+000	1.6375864000000000E+000
3.4565899189986649E+000	1.5809854000000001E+000
3.8951635586240441E+000	1.5886792000000001E+000
4.3346015939117786E+000	1.5423541999999999E+000
4.7747625673635641E+000	1.5283072000000000E+000
5.2154988119803694E+000	1.5202654000000000E+000
5.6568026199998123E+000	1.4965982000000000E+000
6.0986343102566609E+000	1.4821473999999999E+000
6.5409300480223029E+000	1.4708985999999999E+000
6.9835686302595885E+000	1.4627650000000001E+000
7.4264801787327448E+000	1.4529917999999999E+000
7.8696439608686557E+000	1.4435325999999999E+000
8.3130408064899743E+000	1.4356376000000000E+000
8.7566558225031752E+000	1.4281687999999999E+000
9.2004736991348981E+000	1.4214126000000000E+000
9.6444759992197664E+000	1.4154990000000001E+000
1.0088643544018227E+001	1.4102006000000000E+000
1.0532958305772780E+001	1.4054914000000001E+000
1.0977405520541518E+001	1.4012214000000001E+000
1.1421976948469622E+001	1.3969228000000000E+000
1.1866670786028118E+001	1.3923816000000000E+000
1.2311486738784241E+001	1.3879166000000001E+000
1.2756421004467777E+001	1.3839432000000000E+000
1.3201465192995991E+001	1.3805828000000000E+000
1.3646608654377095E+001	1.3776755999999999E+000
1.4000000000000000E+001	1.3749948000000001E+000

 
