time	l
2.5633461787196148E-002	8.4794779999999995E-008
5.1190393432985953E-002	2.6798099999999998E-004
7.6193794772603865E-002	5.2932279999999999E-004
1.0078129276347468E-001	8.2805759999999998E-004
1.2509313285179144E-001	8.7080960000000005E-004
1.4919100502148641E-001	9.3190199999999997E-004
1.7305807267832657E-001	1.1123967999999999E-003
1.9673236666103280E-001	1.1651771999999999E-003
2.2025765795929786E-001	1.0809928000000001E-003
2.4367228654008785E-001	1.1365988000000000E-003
2.6701085480852960E-001	1.2982012000000000E-003
2.9030288387410697E-001	1.3389844000000000E-003
3.1357243258927020E-001	1.3100630000000000E-003
3.3684208829966317E-001	1.3849813999999999E-003
3.6013109892644968E-001	1.4885154000000001E-003
3.8344952476905392E-001	1.4951844000000000E-003
4.0679236808782676E-001	1.4897356000000000E-003
4.3016965299820981E-001	1.5562702000000001E-003
4.5359014318636298E-001	1.6187744000000000E-003
4.7705876724419050E-001	1.6202568000000001E-003
5.0057840282509702E-001	1.6243324000000000E-003
5.2414986014997689E-001	1.6659681999999999E-003
5.4777250701402991E-001	1.6981728000000000E-003
5.7144562987139125E-001	1.6946388000000001E-003
5.9516753876207740E-001	1.6938745999999999E-003
6.1893740348806403E-001	1.7121949999999999E-003
6.4275301409296437E-001	1.7258251999999999E-003
6.6661294101884505E-001	1.7178353999999999E-003
6.9050911030024653E-001	1.7132274000000000E-003
7.1443134927580709E-001	1.7165412000000001E-003
7.3837860159998958E-001	1.7128989999999999E-003
7.6235333785084436E-001	1.7195740000000000E-003
7.8634724634861886E-001	1.6974912000000000E-003
8.1036831066421633E-001	1.7073180000000000E-003
8.3440508915421263E-001	1.7088369999999999E-003
8.5846838339349063E-001	1.6927804000000000E-003
8.8254319644704449E-001	1.7106100000000000E-003
9.0663926782983328E-001	1.7012646000000001E-003
9.3075823923889556E-001	1.7002138000000000E-003
9.5488454853519578E-001	1.7124919999999999E-003
9.7902797564717914E-001	1.7130428000000000E-003
1.0031951984803884E+000	1.7146742000000001E-003
1.0273701746112631E+000	1.7088348000000001E-003
1.0515532036660673E+000	1.7375013999999999E-003
1.0757596159389529E+000	1.7381910000000000E-003
1.0999847882040579E+000	1.7322912000000000E-003
1.1242124696336466E+000	1.7432118000000000E-003
1.1484466272954519E+000	1.7498268000000000E-003
1.1727014563309894E+000	1.7649084000000001E-003
1.1969782430939446E+000	1.7751793999999999E-003
1.2212623576084032E+000	1.7713414000000000E-003
1.2455461188931636E+000	1.7714056000000000E-003
1.2698383502466548E+000	1.7909236000000000E-003
1.2941520460988452E+000	1.8018608000000000E-003
1.3184867554639004E+000	1.8058277999999999E-003
1.3428298432317540E+000	1.8133121999999999E-003
1.3671731283374211E+000	1.8122278000000001E-003
1.3915208610153955E+000	1.8125242000000001E-003
1.4158827814598081E+000	1.8256912000000000E-003
1.4402638979657698E+000	1.8384835999999999E-003
1.4646608944538619E+000	1.8435926000000000E-003
1.4890661784213581E+000	1.8423190000000000E-003
1.5134743709113916E+000	1.8401404000000000E-003
1.5378859221328383E+000	1.8399426000000000E-003
1.5623059499402281E+000	1.8447460000000000E-003
1.5867396825231006E+000	1.8541893999999999E-003
1.6111884693642911E+000	1.8603884000000001E-003
1.6356495973959446E+000	1.8585224000000000E-003
1.6601195214116895E+000	1.8524410000000000E-003
1.6845961571856005E+000	1.8485120000000001E-003
1.7090794666287825E+000	1.8488580000000001E-003
1.7335704548378483E+000	1.8502536000000000E-003
1.7580699252287344E+000	1.8508973999999999E-003
1.7825782865772479E+000	1.8505920000000001E-003
1.8070956930537470E+000	1.8474678000000000E-003
1.8316223847579622E+000	1.8424547999999999E-003
1.8561588462269749E+000	1.8348711999999999E-003
1.8807051200942828E+000	1.8274824000000000E-003
1.9052603704184048E+000	1.8223172000000000E-003
1.9298231952638472E+000	1.8193164000000000E-003
1.9543921358455594E+000	1.8178657999999999E-003
1.9789664020079865E+000	1.8133972000000001E-003
2.0035463296245064E+000	1.8045842000000000E-003
2.0281329991032067E+000	1.7949544000000000E-003
