time	d
2.5843959230199619E-002	2.4736280000000002E+000
5.1507732430671922E-002	1.4436184000000001E+001
7.6747643133179916E-002	1.4004566000000001E+001
1.0160367268407763E-001	1.2307288000000000E+001
1.2608292996710624E-001	1.0729372000000000E+001
1.5029536552764430E-001	9.3210359999999994E+000
1.7431517796185927E-001	8.0646819999999995E+000
1.9820119957289187E-001	6.9681639999999998E+000
2.2199666841137031E-001	6.0052500000000002E+000
2.4573686689732660E-001	5.1532419999999997E+000
2.6944243920195160E-001	4.4131819999999999E+000
2.9309252980064909E-001	3.7720579999999999E+000
3.1669714721765929E-001	3.2259720000000001E+000
3.4027522200266724E-001	2.7543199999999999E+000
3.6384554041210465E-001	2.3589180000000001E+000
3.8742430258329219E-001	2.0252100000000000E+000
4.1102499448441565E-001	1.7532605999999999E+000
4.3465744921920330E-001	1.5286831999999999E+000
4.5832904394195978E-001	1.3526944000000001E+000
4.8204398551798672E-001	1.2146243999999999E+000
5.0580517265709424E-001	1.1141048000000000E+000
5.2961368305666101E-001	1.0422064000000000E+000
5.5346994846744235E-001	9.9765519999999996E-001
5.7737364322572060E-001	9.7436020000000001E-001
6.0132410035774375E-001	9.6960259999999998E-001
6.2532055282126586E-001	9.7836719999999999E-001
6.4936014996810598E-001	1.0011298000000000E+000
6.7343070773325175E-001	1.0280427999999999E+000
6.9752960974642320E-001	1.0608248000000000E+000
7.2165592907604392E-001	1.1072295999999999E+000
7.4580923040208713E-001	1.1341990000000000E+000
7.6998869942559123E-001	1.1858599999999999E+000
7.9419186302604805E-001	1.2118300000000000E+000
8.1842076240294648E-001	1.2645774000000001E+000
8.4267076688431608E-001	1.2989938000000001E+000
8.6694480677847130E-001	1.3091732000000000E+000
8.9123607777558822E-001	1.3625200000000000E+000
9.1554963706441095E-001	1.3887035999999999E+000
9.3988424414504723E-001	1.3886124000000000E+000
9.6423198425733292E-001	1.4331339999999999E+000
9.8859980407588932E-001	1.4751452000000000E+000
1.0129883980381860E+000	1.4626307999999999E+000
1.0373876900202015E+000	1.4540310000000001E+000
1.0617997421639656E+000	1.4899860000000000E+000
1.0862342517278052E+000	1.5318596000000000E+000
1.1106859327357275E+000	1.5268942000000001E+000
1.1351448814110134E+000	1.5001899999999999E+000
1.1596153868846102E+000	1.5111399999999999E+000
1.1841055094068713E+000	1.5551808000000000E+000
1.2086093328888439E+000	1.5825149999999999E+000
1.2331156557436234E+000	1.5683292000000000E+000
1.2576264399955355E+000	1.5320077999999999E+000
1.2821513894324319E+000	1.5155559999999999E+000
1.3066953706512416E+000	1.5400744000000000E+000
1.3312513339163849E+000	1.5822617999999999E+000
1.3558090370873443E+000	1.6021107999999999E+000
1.3803663796033325E+000	1.5837348000000000E+000
1.4049308507970224E+000	1.5466477999999999E+000
1.4295118631614676E+000	1.5251872000000000E+000
1.4541113605926719E+000	1.5381385999999999E+000
1.4787218072862474E+000	1.5745963999999999E+000
1.5033335183622096E+000	1.6060274000000001E+000
1.5279433787815617E+000	1.6102327999999999E+000
1.5525564571367196E+000	1.5858374000000000E+000
1.5771806482623252E+000	1.5493566000000001E+000
1.6018204540899035E+000	1.5221738000000000E+000
1.6264747580886301E+000	1.5179882000000000E+000
1.6511387954402648E+000	1.5364975999999999E+000
1.6758075419147245E+000	1.5658947999999999E+000
1.7004783675693660E+000	1.5902476000000001E+000
1.7251518505622592E+000	1.5972966000000000E+000
1.7498308461087360E+000	1.5837718000000001E+000
1.7745187159553393E+000	1.5559130000000001E+000
1.7992176481603128E+000	1.5262916000000000E+000
1.8239279049541979E+000	1.5083968000000001E+000
1.8486479692152309E+000	1.5097718000000000E+000
1.8733752322970711E+000	1.5286633999999999E+000
1.8981070713683652E+000	1.5560966000000001E+000
1.9228418754466188E+000	1.5796892000000000E+000
1.9475795454226790E+000	1.5887430000000000E+000
1.9723213611719861E+000	1.5794459999999999E+000
1.9970693771484085E+000	1.5556626000000000E+000
2.0218255309090947E+000	1.5257250000000000E+000
2.0465909335929444E+000	1.4989770000000000E+000
2.0713657082163155E+000	1.4829247999999999E+000
2.0961492303184741E+000	1.4809638000000001E+000
2.1209404257765447E+000	1.4916830000000001E+000
2.1457379958779677E+000	1.5102287999999999E+000
2.1705406624854997E+000	1.5305108000000001E+000
2.1953474387357206E+000	1.5466869999999999E+000
2.2201577724248631E+000	1.5540453999999999E+000
2.2449716145355505E+000	1.5501412000000001E+000
2.2697894836277372E+000	1.5356894000000001E+000
2.2946124213053705E+000	1.5143068000000000E+000
2.3194417180171580E+000	1.4913415999999999E+000
2.3442784865800825E+000	1.4724078000000000E+000
2.3691233774422393E+000	1.4618986000000000E+000
2.3939763535641174E+000	1.4618116000000001E+000
2.4188367487621756E+000	1.4713304000000000E+000
2.4437034139376181E+000	1.4872422000000001E+000
2.4685749318614185E+000	1.5049402000000001E+000
2.4934498803560334E+000	1.5196524000000000E+000
2.5183271529963891E+000	1.5275330000000000E+000
2.5432052051376939E+000	1.5264470000000001E+000
2.5680833925979982E+000	1.5163994000000001E+000
2.5929629942100969E+000	1.4993913999999999E+000
2.6178459761897974E+000	1.4786619999999999E+000
2.6427344529778134E+000	1.4576974000000000E+000
2.6676302397725373E+000	1.4395709999999999E+000
2.6925345602603157E+000	1.4267672000000000E+000
2.7174478634452330E+000	1.4210996000000000E+000
2.7423697065759072E+000	1.4233704000000000E+000
2.7672987658461383E+000	1.4329267999999999E+000
2.7922330671061855E+000	1.4475766000000001E+000
2.8171704327290428E+000	1.4641109999999999E+000
2.8421089952195717E+000	1.4791926000000000E+000
2.8670475712071655E+000	1.4901012000000000E+000
2.8919857801983730E+000	1.4950532000000001E+000
2.9169239676129481E+000	1.4932114000000001E+000
2.9418630519927205E+000	1.4846463999999999E+000
2.9668043699108297E+000	1.4703952000000000E+000
2.9917495099581504E+000	1.4524826000000000E+000
3.0167000878089745E+000	1.4336882000000000E+000
3.0416574600162338E+000	1.4170050000000001E+000
3.0666224526456851E+000	1.4049415999999999E+000
3.0915951950721228E+000	1.3989494000000000E+000
3.1165751123812715E+000	1.3992232000000000E+000
3.1415610685906499E+000	1.4049048000000000E+000
3.1665516004991825E+000	1.4144930000000000E+000
3.1915451681817051E+000	1.4262090000000001E+000
3.2165403734740101E+000	1.4382078000000000E+000
3.2415361334046771E+000	1.4486938000000000E+000
3.2665318098021805E+000	1.4560458000000001E+000
3.2915272892418521E+000	1.4590144000000000E+000
3.3165230003894361E+000	1.4569369999999999E+000
3.3415198478536805E+000	1.4498734000000000E+000
3.3665190621048113E+000	1.4385876000000000E+000
