time	d
2.5633461787196148E-002	1.3733340000000001E+000
5.1190393432985953E-002	1.3977840000000000E+001
7.6193794772603865E-002	1.3365755999999999E+001
1.0078129276347468E-001	1.1687785999999999E+001
1.2509313285179144E-001	1.0091490000000000E+001
1.4919100502148641E-001	8.6459980000000005E+000
1.7305807267832657E-001	7.3698560000000004E+000
1.9673236666103280E-001	6.2659320000000003E+000
2.2025765795929786E-001	5.3061879999999997E+000
2.4367228654008785E-001	4.4539499999999999E+000
2.6701085480852960E-001	3.7200440000000001E+000
2.9030288387410697E-001	3.0927560000000001E+000
3.1357243258927020E-001	2.5622419999999999E+000
3.3684208829966317E-001	2.1000580000000002E+000
3.6013109892644968E-001	1.7180498000000000E+000
3.8344952476905392E-001	1.4003924000000001E+000
4.0679236808782676E-001	1.1465742000000001E+000
4.3016965299820981E-001	9.3630820000000003E-001
4.5359014318636298E-001	7.7952900000000003E-001
4.7705876724419050E-001	6.6079339999999998E-001
5.0057840282509702E-001	5.8224920000000002E-001
5.2414986014997689E-001	5.2857240000000005E-001
5.4777250701402991E-001	5.0591359999999996E-001
5.7144562987139125E-001	5.0287400000000004E-001
5.9516753876207740E-001	5.2006640000000004E-001
6.1893740348806403E-001	5.5109459999999999E-001
6.4275301409296437E-001	5.9512659999999995E-001
6.6661294101884505E-001	6.2795500000000004E-001
6.9050911030024653E-001	6.8911619999999996E-001
7.1443134927580709E-001	7.5041460000000004E-001
7.3837860159998958E-001	7.8692439999999997E-001
7.6235333785084436E-001	8.5647099999999998E-001
7.8634724634861886E-001	8.9846380000000003E-001
8.1036831066421633E-001	9.4275560000000003E-001
8.3440508915421263E-001	1.0177248000000001E+000
8.5846838339349063E-001	1.0159262000000000E+000
8.8254319644704449E-001	1.0732280000000001E+000
9.0663926782983328E-001	1.1324951999999999E+000
9.3075823923889556E-001	1.1265384000000001E+000
9.5488454853519578E-001	1.1557082000000001E+000
9.7902797564717914E-001	1.2258697999999999E+000
1.0031951984803884E+000	1.2353879999999999E+000
1.0273701746112631E+000	1.2161762000000000E+000
1.0515532036660673E+000	1.2399344000000001E+000
1.0757596159389529E+000	1.2961974000000001E+000
1.0999847882040579E+000	1.3209430000000000E+000
1.1242124696336466E+000	1.2959604000000000E+000
1.1484466272954519E+000	1.2841170000000000E+000
1.1727014563309894E+000	1.3219760000000000E+000
1.1969782430939446E+000	1.3702386000000000E+000
1.2212623576084032E+000	1.3790732000000001E+000
1.2455461188931636E+000	1.3503985999999999E+000
1.2698383502466548E+000	1.3242364000000000E+000
1.2941520460988452E+000	1.3333272000000000E+000
1.3184867554639004E+000	1.3717414000000001E+000
1.3428298432317540E+000	1.4047308000000001E+000
1.3671731283374211E+000	1.4078918000000000E+000
1.3915208610153955E+000	1.3847898000000001E+000
1.4158827814598081E+000	1.3559048000000000E+000
1.4402638979657698E+000	1.3459014000000000E+000
1.4646608944538619E+000	1.3666548000000001E+000
1.4890661784213581E+000	1.4032967999999999E+000
1.5134743709113916E+000	1.4273690000000001E+000
1.5378859221328383E+000	1.4222048000000000E+000
1.5623059499402281E+000	1.3942984000000000E+000
1.5867396825231006E+000	1.3613218000000000E+000
1.6111884693642911E+000	1.3415522000000000E+000
1.6356495973959446E+000	1.3454104000000000E+000
1.6601195214116895E+000	1.3694075999999999E+000
1.6845961571856005E+000	1.3988840000000000E+000
1.7090794666287825E+000	1.4155926000000001E+000
1.7335704548378483E+000	1.4101318000000000E+000
1.7580699252287344E+000	1.3871317999999999E+000
1.7825782865772479E+000	1.3584168000000001E+000
1.8070956930537470E+000	1.3362932000000001E+000
1.8316223847579622E+000	1.3293775999999999E+000
1.8561588462269749E+000	1.3378372000000001E+000
1.8807051200942828E+000	1.3559260000000000E+000
1.9052603704184048E+000	1.3761795999999999E+000
1.9298231952638472E+000	1.3888571999999999E+000
1.9543921358455594E+000	1.3866856000000001E+000
1.9789664020079865E+000	1.3703894000000001E+000
2.0035463296245064E+000	1.3467150000000001E+000
2.0281329991032067E+000	1.3236585999999999E+000
2.0527277202112613E+000	1.3078091999999999E+000
2.0773317864046486E+000	1.3021567999999999E+000
2.1019462830605535E+000	1.3054138000000000E+000
2.1265717106269362E+000	1.3133520000000001E+000
2.1512073867171817E+000	1.3220643999999999E+000
2.1758513699781967E+000	1.3297175999999999E+000
2.2005012964310566E+000	1.3352067999999999E+000
2.2251553052966675E+000	1.3369814000000000E+000
2.2498125306819490E+000	1.3334619999999999E+000
2.2744733305535902E+000	1.3239943999999999E+000
2.2991391693454175E+000	1.3096188000000000E+000
2.3238120271238691E+000	1.2933186000000001E+000
2.3484937011342866E+000	1.2790872000000000E+000
2.3731853272065284E+000	1.2703264000000001E+000
2.3978871805004971E+000	1.2686694000000001E+000
2.4225987493802830E+000	1.2735904000000000E+000
2.4473189322793241E+000	1.2826788000000000E+000
2.4720461786075734E+000	1.2924766000000001E+000
2.4967786543533861E+000	1.2997228000000001E+000
2.5215146390615906E+000	1.3023773999999999E+000
2.5462530909290324E+000	1.2999343999999999E+000
2.5709940432533811E+000	1.2930248000000000E+000
2.5957385684128478E+000	1.2829066000000000E+000
2.6204883750819703E+000	1.2710896000000000E+000
2.6452453066642190E+000	1.2588273999999999E+000
2.6700090034804571E+000	1.2469424000000000E+000
2.6947782550042203E+000	1.2363404000000000E+000
2.7195531235245873E+000	1.2284360000000001E+000
2.7443334666380710E+000	1.2248640000000000E+000
2.7691189207105258E+000	1.2265969999999999E+000
2.7939089712539422E+000	1.2332316000000001E+000
2.8187030854712223E+000	1.2431209999999999E+000
2.8435008321584401E+000	1.2540350000000000E+000
2.8683019001669527E+000	1.2636856000000001E+000
2.8931060350683513E+000	1.2700012000000001E+000
2.9179130015840231E+000	1.2713772000000001E+000
2.9427226744287962E+000	1.2670262000000001E+000
2.9675351806882753E+000	1.2573048000000000E+000
2.9923509449052803E+000	1.2437092000000001E+000
3.0171706129441640E+000	1.2285143999999999E+000
3.0419948932461947E+000	1.2142468000000000E+000
3.0668243772440551E+000	1.2030946000000000E+000
3.0916594029980411E+000	1.1963870000000001E+000
3.1164999981317991E+000	1.1943425999999999E+000
3.1413459055821296E+000	1.1962524000000001E+000
3.1661966412136806E+000	1.2009604000000000E+000
3.1910515428766133E+000	1.2072757999999999E+000
3.2159098491580020E+000	1.2141519999999999E+000
3.2407708417627150E+000	1.2206821999999999E+000
3.2656340085440156E+000	1.2260196000000001E+000
3.2904991490245017E+000	1.2293746000000001E+000
3.3153663709350520E+000	1.2301222000000001E+000
3.3402359967373072E+000	1.2279142000000001E+000
3.3651084499244903E+000	1.2227437999999999E+000
3.3899841570528935E+000	1.2149532000000001E+000
3.4148607447381791E+000	1.2051712000000001E+000
3.4397362474456812E+000	1.1942268000000000E+000
3.4646106653656257E+000	1.1830898000000001E+000
3.4894842886791602E+000	1.1727988000000000E+000
3.5143576374939065E+000	1.1643614000000000E+000
3.5392313298278326E+000	1.1586639999999999E+000
